result_page_item_position_index	result_page_number	search_term	url	description	from_price	to_price	fulfillment	availability	rating	duplicate_indicator
0	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Coca-Cola Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
1	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
2	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
3	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96	2-day delivery on orders $35+		4.5	Y
4	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
5	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Diet Coke Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
6	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Diet Coke Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
7	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 Pack) Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
8	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today	Pickup Only	4.5	Y
9	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
10	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
11	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Cherry Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
12	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Cherry Coke Mini Cans, Cherry Flavored Coca-Cola Soda Soda Soft Drink, Fridge Pack, 7.5 fl oz, 10 Pack	9.96	9.96			4.0	Y
13	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Caffeine Free Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today		4.5	Y
14	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96			4.5	Y
15	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 8 fl oz, 6 Pack	4.68	4.68	Free pickup today	Pickup Only	4.5	Y
16	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
17	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Diet Coke Soda Soft Drink, 7.5 fl oz, 10 Pack	10.65	10.65	2-day delivery on orders $35+		4.5	Y
18	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Mexican Coke Soda Soft Drink, 355 mL, 4 Pack	4.68	4.68	Free pickup today		4.5	Y
19	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
20	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Coca-Cola Orange Vanilla Soda Soft Drinks, 16.9 fl oz, 6 Pack	8.62	8.62			4.5	Y
21	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 7.5 fl oz, 6 Pack	2.76	2.76	Free pickup today	Pickup Only	4.5	Y
22	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Cherry Vanilla Coke, Cherry Vanilla Flavored Coca-Cola Soda Pop Soft Drink, Fridge Pack, 12 fl oz, 12 Pack	5.08	5.08	Free pickup today		5.0	N
23	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola, Coke Classic, Original, 12oz Cans (Pack of 18, Total of 216 oz)	21.99	21.99	Sold & shipped by MDS INC Free delivery		3.0	Y
24	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 12 fl oz, 8 Pack	4.28	4.28	Free pickup today	Pickup Only	4.5	N
25	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Orange Vanilla Soda Soft Drinks, 12 fl oz, 12 Pack	5.08	5.08	Free pickup today		4.5	N
26	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Soda Soft Drink, 20 fl oz	1.88	1.88	Free pickup today	Pickup Only	4.5	N
27	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	coca-cola drink cans, 12 fl. oz. (pack of 35)	45.99	45.99	Sold & shipped by MDS INC Free delivery		1.0	N
28	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Cherry Soda Soft Drink, 7.5 fl oz, 6 Pack	2.76	2.76	Free pickup today	Pickup Only	4.0	N
29	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Mini Cans (7.5 Ounce, 30 Pack)	29.99	29.99	Sold & shipped by Q- Logistics LLC Free delivery		4.5	N
30	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Cherry Soda Soft Drink, 12 fl oz, 12 Pack	5.08	5.08	Free pickup today	Pickup Only	4.5	N
31	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Zesty Blood Orange Soda Soft Drink, 12 fl oz, 8 Pack	3.84	3.84	Free pickup today	Pickup Only	4.0	N
32	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Feisty Cherry Soda Soft Drink, 12 fl oz, 8 Pack	3.84	3.84	Free pickup today	Pickup Only	4.0	N
33	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Soda Soft Drink, 12 fl oz, 8 Pack	4.28	4.28	Free pickup today	Pickup Only	4.5	Y
34	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Cherry Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	N
35	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Soda Soft Drink, 1.25 Liters	1.08	1.08	Free pickup today	Pickup Only	4.5	N
36	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coca-Cola Zero Sugar Soda, Cherry Vanilla, 20 Fl Oz Single Bottle	1.88	1.88	Free pickup today		5.0	N
37	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Diet Coke Blueberry Acai Diet Soda Soft Drinks, 12 fl oz, 8 Pack	3.84	3.84	Free pickup today	Pickup Only	4.5	N
38	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 8 Pack	4.28	4.28		Out of stock	4.5	N
39	1	coke	https://www.walmart.com/search/?cat_id=0&query=coke	(2 pack) Cherry Vanilla Coke, Cherry Vanilla Flavored Coca-Cola Soda Pop Soft Drink, 16.9 fl oz, 6 Pack	8.62	12.04		Out of stock	4.5	N
0	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke Soda Soft Drink, 20 fl oz	1.88	1.88	Free pickup today	Pickup Only	4.5	N
1	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coke De Mexico Fiesta Pack Glass Bottles, Variety Pack, 12 Fl Oz, 12 Count	32.36	32.36	Sold & shipped by WorldSite Market Free delivery		0.0	N
2	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Mexican Coke Fiesta Pack, 12 fl oz Glass Bottles (Pack of 6, Total of 72 Oz)	23.95	23.95	Sold & shipped by Bayside beverage Online Free delivery		0.0	N
3	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Soda, California Raspberry, 12 Fl Oz, 4 Count				In-store purchase only	4.5	N
4	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 20 fl oz	1.88	1.88	Free pickup today	Pickup Only	4.5	N
5	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola, Coke Classic, Original, 20oz Bottle (Pack of 10, Total of 200 oz)	29.95	29.95	Sold & shipped by Bayside beverage Online Free delivery		0.0	N
6	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	2 Pack of Coca Cola 16 oz Affinity Fountain	12.99	12.99	Sold & shipped by SharpPrices Free delivery		0.0	N
7	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke, 7.5 oz Mini Cans (Pack of 12, Total of 90 Fl Oz)	19.99	19.99	Sold & shipped by MDS INC Free delivery		0.0	N
8	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke Soda Soft Drink, 16.9 fl oz, 24 Pack	44.42	44.42	Pro sellerSold & shipped by Cheapees Free delivery		4.5	N
9	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Orange Vanilla Soda Soft Drinks, 20 fl oz	1.88	1.88	Free pickup today		4.5	N
10	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	diet coke, 12-ounce cans (pack of 24)	30.00	30.00	Sold & shipped by MDS INC Free delivery		0.0	N
11	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke - 32/12 oz. cans by Coca-Cola	31.99	31.99	Sold & shipped by TheNewMall Free delivery		0.0	N
12	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coca Cola Coke Soda, 12 oz (35 Cans)	33.89	33.89	Sold & shipped by TheNewMall Free delivery		0.0	Y
13	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 35 Pack	39.10	39.10	Sold & shipped by SHOPIMO Free delivery		4.5	N
14	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Cherry Soda Soft Drink, 20 fl oz	1.88	1.88	Free pickup today	Pickup Only	4.5	N
15	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coke 18 pack (12 Oz Cans)	49.30	49.30	Sold & shipped by Ecom Direct LLC Free delivery		1.0	N
16	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke 12 oz. cans, 35 pk. A1	33.99	33.99	Sold & shipped by TheNewMall Free delivery		1.0	N
17	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke Soda Soft Drink, 12 Fl Oz, 36 Pack	44.98	44.98	Sold & shipped by MDS INC Free delivery		1.0	N
18	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coke Mini (7.5oz / 30pk)	33.99	33.99	Sold & shipped by Supersale Free delivery		0.0	N
19	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola, Coke Classic, Original, 12oz Cans (Pack of 18, Total of 216 oz)	44.12	44.12	Sold & shipped by WMKOnline Free delivery		0.0	Y
20	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Diet Coca Cola Coke Soda, 12 oz (35 Cans)	39.95	39.95	Sold & shipped by Bayside beverage Online Free delivery		0.0	Y
21	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca Cola Topus the Zebra Nigeria #0241	17.07	17.07	Sold & shipped by AffordablePrice Free delivery		0.0	N
22	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Soda Soft Drink, 2 Liters, 4 Pack	35.88	35.88	Sold & shipped by Biggestsaleusa Free delivery		4.5	N
23	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Zero Sugar, 20 Fl Oz Bottle (Pack of 12, Total of 240 Oz)	34.99	34.99	Sold & shipped by Young Systems LLC Free delivery		0.0	N
24	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Sprite Mini Cans (7.5oz / 30pk)	29.99	29.99	Sold & shipped by Q- Logistics LLC Free delivery		0.0	N
25	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Zero Sugar, 20 Fl Oz Bottle (Pack of 16, Total of 320 Oz)	41.99	41.99	Sold & shipped by Young Systems LLC Free delivery		0.0	N
26	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Fruit Twist (6x330ml)	24.80	24.80	Sold & shipped by Epicure Company Free delivery		0.0	N
27	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Lemon 330ml (Pack of 6)	23.90	23.90	Sold & shipped by Epicure Company Free delivery		0.0	N
28	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Lemon 330ml (Pack of 12)	34.51	34.51	Sold & shipped by Epicure Company Free delivery		0.0	Y
29	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola, Fanta, Sprite - Lemon-Lime, Canada Dry - Ginger Ale - Ultimate Variety Pack!, 7.5 oz Mini Cans (Pack of 18, Total of 135 Fl Oz)	45.16	45.16	Sold & shipped by WMKOnline Free delivery		0.0	N
30	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Fruit Twist 330ml - Pack of 12	34.92	34.92	Sold & shipped by Epicure Company Free delivery		0.0	N
31	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Mexican Fanta Orange, 12oz Glass Bottle (Pack of 6, Total of 72 Oz)	42.04	42.04	Sold & shipped by WMKOnline Free delivery		0.0	N
32	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Lemon 330ml (Pack of 12)	53.67	53.67	Sold & shipped by WMKOnline Free delivery		0.0	Y
33	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Fruit Twist 330ml X 24	61.99	61.99	Sold & shipped by Epicure Company Free delivery		0.0	N
34	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Fanta Icy Lemon Soft Drink Can 330 Ml (pack Of 24)	69.99	69.99	Sold & shipped by Epicure Company Free delivery		0.0	N
35	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Soda, 12 Fl. Oz.	1.30	1.30	Free pickup today	Pickup Only	5.0	N
36	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Vanilla Soda Soft Drink, 12 fl oz, 12 Pack	3.50	3.50		Out of stock	4.5	N
37	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Caffeine Free Soda Soft Drink, 12 fl oz, 12 Pack	4.98	4.98		Out of stock	4.5	N
38	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Zero Caffeine-Free Soda Soft Drink, 12 fl oz, 12 Pack	4.68	4.68		Out of stock	4.5	N
39	2	coke	https://www.walmart.com/search/?cat_id=0&page=2&ps=40&query=coke	Coca-Cola Soda, Cinnamon, 7.5 Fl Oz, 6 Count	5.00	12.98		Out of stock	3.5	N
0	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 Pack) Coca-Cola Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
0	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coke Zero Orange Vanilla Diet Soda Sugar Free Soft Drinks, 12 fl oz, 12 Pack				In-store purchase only	4.5	N
1	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
1	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda, Cherry Vanilla, 20 Fl Oz Single Bottle	1.88	1.88	Free pickup today		5.0	N
2	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coca-Cola Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96	2-day delivery on orders $35+		4.5	Y
2	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Zero Cherry Diet Soda Soft Drink, 20 fl oz	1.88	1.88	Free pickup today	Pickup Only	5.0	N
3	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
3	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda, Georgia Peach, 12 Fl Oz, 4 Count				In-store purchase only	4.5	N
4	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
4	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Sprite Ginger 20 oz single	1.88	1.88	Free pickup today		5.0	N
5	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 Pack) Diet Coke Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
5	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Orange Vanilla Zero Sugar Diet Soda Sugar Free Soft Drink, 20 fl oz				In-store purchase only	5.0	N
6	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Diet Coke Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
6	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Ginger Lime Soda Soft Drink, 12 fl oz, 8 Pack	3.84	16.98		Out of stock	4.0	N
7	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 Pack) Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 12 Pack	12.96	12.96	2-day delivery on orders $35+		4.5	Y
7	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Zero Vanilla Soda Soft Drink, 12 fl oz, 12 Pack	4.68	4.68		Out of stock	4.5	N
8	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today	Pickup Only	4.5	Y
8	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Ginger Lime Diet Soda Pop Soft Drink, Fridgepack, 12 fl oz, 12 Pack	4.98	4.98		Out of stock	4.5	N
9	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
9	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Zero Cherry Diet Soda Soft Drink, 12 fl oz, 12 Pack	4.98	4.98		Out of stock	4.5	N
10	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Soda Soft Drink, 12 fl oz, 24 Pack	8.78	8.78	Free pickup today		4.5	Y
10	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Strawberry Guava Diet Soda Soft Drinks, 12 fl oz, 8 Pack	3.84	16.98		Out of stock	4.5	N
11	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Cherry Coke Mini Cans, Cherry Flavored Coca-Cola Soda Soda Soft Drink, Fridge Pack, 7.5 fl oz, 10 Pack	9.96	9.96			4.0	Y
11	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Twisted Mango Soda Soft Drink, 12 fl oz, 8 Pack	3.84	16.98		Out of stock	3.5	N
12	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coca-Cola Cherry Soda Soft Drink, 16.9 fl oz, 6 Pack	8.62	8.62	2-day delivery on orders $35+		4.5	Y
12	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda, 16 Fl. Oz.	3.01	16.69		Out of stock	5.0	N
13	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Caffeine Free Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today		4.5	Y
13	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Fiesty Cherry Diet Soda Pop Soft Drink, Fridgepack, 12 fl oz, 12 Pack	4.98	4.98		Out of stock	4.0	N
14	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Soda Soft Drink, 12 fl oz, 8 Pack				In-store purchase only	4.5	Y
14	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coke Zero Sugar Diet Soda Soft Drink, 7.5 fl oz, 10 Pack	9.96	9.96			4.5	Y
15	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda Soft Drink, 8 fl oz, 6 Pack	4.68	4.68	Free pickup today	Pickup Only	4.5	Y
15	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Vanilla Soda Soft Drink, 20 fl oz	1.88	10.43		Out of stock	4.5	N
16	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Diet Coke Soda Soft Drink, 7.5 fl oz, 10 Pack	10.65	10.65	2-day delivery on orders $35+		4.5	Y
16	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Sweetened w/ Splenda Soft Drink, 12 fl oz, 12 Pack	4.68	4.68		Out of stock	4.5	N
17	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coke Zero Sugar Diet Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
18	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Diet Coke Soda Soft Drink, 2 Liters	1.74	1.74	Free pickup today	Pickup Only	4.5	Y
19	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	(2 pack) Coca-Cola Orange Vanilla Soda Soft Drinks, 16.9 fl oz, 6 Pack	8.62	8.62			4.5	Y
20	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Mexican Coke Soda Soft Drink, 355 mL, 4 Pack	4.68	4.68	Free pickup today		4.5	Y
21	3	coke	https://www.walmart.com/search/?cat_id=0&page=3&ps=40&query=coke	Coca-Cola Soda Soft Drink, 7.5 fl oz, 6 Pack	2.76	2.76	Free pickup today	Pickup Only	4.5	Y
